timestamps,X,Y,Z
1741743554.849,0.333,0.150,-0.945
1741743554.896,0.336,0.146,-0.949
1741743554.896,0.336,0.149,-0.947
1741743554.896,0.331,0.150,-0.950
1741743554.956,0.336,0.147,-0.945
1741743554.956,0.330,0.144,-0.942
1741743554.956,0.333,0.144,-0.943
1741743555.014,0.332,0.148,-0.945
1741743555.014,0.332,0.147,-0.943
1741743555.014,0.331,0.146,-0.939
1741743555.074,0.332,0.146,-0.940
1741743555.074,0.331,0.147,-0.943
1741743555.074,0.334,0.147,-0.942
1741743555.135,0.332,0.146,-0.941
1741743555.183,0.328,0.144,-0.941
1741743555.183,0.331,0.145,-0.940
1741743555.183,0.333,0.148,-0.944
1741743555.242,0.333,0.148,-0.941
1741743555.242,0.330,0.154,-0.943
1741743555.242,0.337,0.148,-0.944
1741743555.300,0.331,0.148,-0.943
1741743555.300,0.334,0.144,-0.942
1741743555.300,0.331,0.148,-0.942
1741743555.360,0.330,0.146,-0.939
1741743555.360,0.335,0.145,-0.945
1741743555.360,0.332,0.147,-0.941
1741743555.418,0.335,0.143,-0.943
1741743555.418,0.336,0.147,-0.941
1741743555.418,0.333,0.146,-0.944
1741743555.467,0.333,0.142,-0.940
1741743555.467,0.331,0.142,-0.941
1741743555.467,0.335,0.146,-0.940
1741743555.524,0.336,0.148,-0.942
1741743555.524,0.335,0.145,-0.943
1741743555.524,0.335,0.147,-0.940
1741743555.585,0.333,0.147,-0.939
1741743555.585,0.334,0.146,-0.946
1741743555.585,0.333,0.146,-0.941
1741743555.645,0.332,0.147,-0.940
1741743555.645,0.331,0.147,-0.941
1741743555.645,0.334,0.145,-0.939
1741743555.689,0.329,0.149,-0.943
1741743555.689,0.330,0.147,-0.941
1741743555.689,0.329,0.149,-0.936
1741743555.781,0.333,0.146,-0.943
1741743555.781,0.334,0.146,-0.939
1741743555.781,0.332,0.148,-0.943
1741743555.810,0.331,0.145,-0.939
1741743555.810,0.332,0.143,-0.941
1741743555.810,0.337,0.142,-0.941
1741743555.870,0.332,0.143,-0.941
1741743555.870,0.331,0.147,-0.942
1741743555.870,0.326,0.147,-0.941
1741743555.914,0.333,0.149,-0.939
1741743555.914,0.333,0.146,-0.939
1741743555.914,0.330,0.151,-0.942
1741743555.974,0.332,0.145,-0.940
1741743555.974,0.334,0.144,-0.944
1741743555.974,0.331,0.149,-0.942
1741743556.034,0.335,0.147,-0.941
1741743556.034,0.329,0.142,-0.939
1741743556.034,0.334,0.144,-0.941
1741743556.093,0.331,0.146,-0.940
1741743556.093,0.332,0.147,-0.938
1741743556.093,0.337,0.145,-0.940
1741743556.139,0.331,0.145,-0.939
1741743556.139,0.329,0.147,-0.940
1741743556.139,0.335,0.147,-0.939
1741743556.199,0.330,0.143,-0.941
1741743556.199,0.336,0.143,-0.941
1741743556.199,0.332,0.144,-0.939
1741743556.263,0.329,0.150,-0.941
1741743556.263,0.331,0.143,-0.939
1741743556.263,0.330,0.145,-0.945
1741743556.319,0.332,0.149,-0.940
1741743556.319,0.330,0.151,-0.946
1741743556.319,0.334,0.144,-0.940
1741743556.379,0.329,0.148,-0.942
1741743556.379,0.332,0.148,-0.942
1741743556.379,0.336,0.145,-0.942
1741743556.424,0.334,0.145,-0.944
1741743556.424,0.332,0.144,-0.942
1741743556.424,0.331,0.144,-0.940
1741743556.484,0.338,0.143,-0.938
1741743556.484,0.335,0.150,-0.938
1741743556.484,0.333,0.142,-0.941
1741743556.546,0.333,0.149,-0.943
1741743556.546,0.332,0.146,-0.943
1741743556.546,0.331,0.146,-0.939
1741743556.591,0.328,0.146,-0.939
1741743556.591,0.333,0.146,-0.939
1741743556.591,0.334,0.145,-0.938
1741743556.649,0.332,0.144,-0.940
1741743556.649,0.331,0.147,-0.942
1741743556.649,0.334,0.145,-0.940
1741743556.709,0.333,0.147,-0.941
1741743556.709,0.335,0.144,-0.943
1741743556.709,0.330,0.150,-0.943
1741743556.770,0.334,0.146,-0.938
1741743556.770,0.335,0.150,-0.939
1741743556.770,0.330,0.146,-0.943
1741743556.830,0.331,0.145,-0.938
1741743556.830,0.332,0.145,-0.945
1741743556.830,0.331,0.146,-0.943
1741743556.877,0.332,0.149,-0.946
1741743556.877,0.331,0.148,-0.943
1741743556.877,0.333,0.149,-0.936
1741743556.934,0.331,0.146,-0.938
1741743556.934,0.333,0.148,-0.943
1741743556.934,0.333,0.142,-0.942
1741743556.994,0.332,0.149,-0.942
1741743556.994,0.333,0.144,-0.943
1741743556.994,0.327,0.146,-0.942
1741743557.055,0.330,0.147,-0.938
1741743557.055,0.336,0.147,-0.941
1741743557.055,0.333,0.144,-0.941
1741743557.103,0.333,0.146,-0.941
1741743557.103,0.333,0.146,-0.942
1741743557.103,0.335,0.148,-0.940
1741743557.159,0.331,0.143,-0.936
1741743557.159,0.336,0.151,-0.940
1741743557.159,0.330,0.147,-0.941
1741743557.219,0.333,0.144,-0.939
1741743557.219,0.332,0.144,-0.941
1741743557.219,0.332,0.147,-0.939
1741743557.280,0.331,0.144,-0.942
1741743557.280,0.333,0.147,-0.942
1741743557.280,0.331,0.146,-0.942
1741743557.339,0.332,0.145,-0.945
1741743557.339,0.328,0.149,-0.940
1741743557.339,0.332,0.146,-0.943
1741743557.387,0.328,0.147,-0.939
1741743557.387,0.333,0.145,-0.945
1741743557.387,0.328,0.142,-0.940
1741743557.444,0.334,0.145,-0.938
1741743557.444,0.331,0.149,-0.942
1741743557.444,0.333,0.147,-0.941
1741743557.503,0.332,0.145,-0.940
1741743557.503,0.329,0.147,-0.939
1741743557.503,0.332,0.146,-0.942
1741743557.565,0.331,0.146,-0.939
1741743557.565,0.330,0.148,-0.939
1741743557.565,0.335,0.150,-0.939
1741743557.609,0.332,0.149,-0.940
1741743557.609,0.332,0.146,-0.938
1741743557.609,0.335,0.147,-0.940
1741743557.672,0.335,0.143,-0.942
1741743557.672,0.332,0.150,-0.940
1741743557.672,0.332,0.143,-0.944
1741743557.729,0.333,0.149,-0.943
1741743557.729,0.333,0.147,-0.938
1741743557.729,0.333,0.142,-0.937
1741743557.789,0.333,0.147,-0.940
1741743557.789,0.333,0.146,-0.942
1741743557.789,0.336,0.144,-0.943
1741743557.834,0.335,0.145,-0.944
1741743557.834,0.334,0.144,-0.941
1741743557.834,0.332,0.140,-0.946
1741743557.895,0.330,0.144,-0.944
1741743557.895,0.332,0.143,-0.942
1741743557.895,0.333,0.149,-0.940
1741743557.955,0.331,0.147,-0.940
1741743557.955,0.335,0.145,-0.941
1741743557.955,0.334,0.147,-0.938
1741743558.015,0.333,0.145,-0.943
1741743558.015,0.332,0.144,-0.943
1741743558.015,0.334,0.150,-0.941
1741743558.073,0.336,0.145,-0.944
1741743558.073,0.335,0.147,-0.941
1741743558.073,0.335,0.145,-0.942
1741743558.119,0.335,0.146,-0.946
1741743558.119,0.335,0.146,-0.943
1741743558.119,0.330,0.147,-0.939
1741743558.180,0.334,0.143,-0.939
1741743558.180,0.333,0.144,-0.940
1741743558.180,0.329,0.143,-0.944
1741743558.240,0.335,0.145,-0.941
1741743558.240,0.331,0.148,-0.939
1741743558.240,0.334,0.147,-0.942
